0,1.000000	
0,1.000000	
0,1.000000	
0,1.000000	
1,1.000000	
1,1.000000	
1,1.000000	
1,1.000000	
1,1.000000	
1,1.000000	
1,1.000000	
0,0.998301	1,0.001699	
0,0.998953	1,0.001047	
0,0.995191	1,0.004809	
0,0.995095	1,0.004905	
0,0.997835	1,0.002165	
0,0.998190	1,0.001810	
0,0.995110	1,0.004890	
0,0.997920	1,0.002080	
0,0.995282	1,0.004718	
0,0.997746	1,0.002254	
0,0.997741	1,0.002259	
0,0.996279	1,0.003721	
0,0.995521	1,0.004479	
0,0.995303	1,0.004697	
0,0.995176	1,0.004824	
0,0.998350	1,0.001650	
0,0.997057	1,0.002943	
0,0.994847	1,0.005153	
0,0.996864	1,0.003136	
0,0.995170	1,0.004830	
0,0.995249	1,0.004751	
0,0.997078	1,0.002922	
0,0.997310	1,0.002690	
0,0.995451	1,0.004549	
0,0.997330	1,0.002670	
0,0.995512	1,0.004488	
0,0.997361	1,0.002639	
0,0.996778	1,0.003222	
0,0.997293	1,0.002707	
0,0.995036	1,0.004964	
0,0.906991	1,0.093009	
0,0.884730	1,0.115270	
0,0.145937	1,0.854063	
0,0.075921	1,0.924079	
0,0.070664	1,0.929336	
0,0.051663	1,0.948337	
0,0.967440	1,0.032560	
0,0.958263	1,0.041737	
0,0.191378	1,0.808622	
0,0.138965	1,0.861035	
0,0.941217	1,0.058783	
0,0.360500	1,0.639500	
0,0.257074	1,0.742926	
0,0.050537	1,0.949463	
0,0.040966	1,0.959034	
0,0.037179	1,0.962821	
0,0.009903	1,0.990097	
0,0.056103	1,0.943897	
0,0.032733	1,0.967267	
0,0.029175	1,0.970825	
0,0.024871	1,0.975129	
0,0.024024	1,0.975976	
0,0.090636	1,0.909364	
0,0.072236	1,0.927764	
0,0.060270	1,0.939730	
0,0.032677	1,0.967323	
0,0.031973	1,0.968027	
0,0.030046	1,0.969954	
0,0.025253	1,0.974747	
0,0.024300	1,0.975700	
0,0.063875	1,0.936125	
0,0.026621	1,0.973379	
0,0.024980	1,0.975020	
0,0.021783	1,0.978217	
0,0.021403	1,0.978597	
0,0.057148	1,0.942852	
0,0.043601	1,0.956399	
0,0.030528	1,0.969472	
0,0.028456	1,0.971544	
0,0.022862	1,0.977138	
0,0.020723	1,0.979277	
0,0.019753	1,0.980247	
0,0.017173	1,0.982827	
0,0.055717	1,0.944283	
0,0.040541	1,0.959459	
0,0.032195	1,0.967805	
0,0.027623	1,0.972377	
0,0.025572	1,0.974428	
0,0.021282	1,0.978718	
0,0.007315	1,0.992685	
